"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2005","107.72","108.46","108.56","107.67","5.75M","-0.67%"
"Feb 16, 2005","108.45","108.28","108.68","108.09","4.29M","-0.02%"
"Feb 15, 2005","108.47","108.06","108.61","107.92","4.72M","0.45%"
"Feb 14, 2005","107.98","108.01","108.12","107.84","3.69M","-0.10%"
"Feb 11, 2005","108.09","107.42","108.39","107.14","4.73M","0.55%"
"Feb 10, 2005","107.50","107.03","107.70","106.93","5.23M","0.71%"
"Feb 09, 2005","106.74","107.42","107.48","106.63","7.45M","-0.48%"
"Feb 08, 2005","107.25","107.06","107.42","106.91","5.05M","0.22%"
"Feb 07, 2005","107.01","106.93","107.27","106.91","3.71M","0.01%"
"Feb 04, 2005","107.00","105.80","107.21","105.76","6.41M","1.02%"
"Feb 03, 2005","105.92","105.70","105.95","105.44","4.84M","0.04%"
"Feb 02, 2005","105.88","105.46","106.13","105.35","4.66M","0.46%"
"Feb 01, 2005","105.40","105.02","105.64","104.84","4.81M","0.57%"
"Jan 31, 2005","104.80","104.98","105.05","104.48","5.33M","0.34%"
